 genre,pop,Code_EAT2,Libell__eat2,Libell__eat2_eng,obs,OPT,upperbd,LIBGR_DIDIT,LIBGR_DIDIT_eng,LIBSGR_DIDIT,LIBSGR_DIDIT_eng,LIBFAM_DIDIT,LIBFAM_DIDIT_eng,Climate_Change,Acidification,Freshwater_Eutrophication,Marine_Eutrophication,Water_Consumption,Land_competition,Cumulative_Energy_Demand,Biodiversity,ENERKC,ENERKJ,EAU,ALCOOL,FIBRES,PROTEINES,GLUCIDES,LIPIDES,AGS,AG_laurique,AG_myristique,AG_palmitique,AG_linoleique,AG_linolenique,AG_EPA,AG_DHA,MIN_NA,MIN_MG,MIN_P,MIN_K,MIN_CA,MIN_FE,MIN_CU,MIN_ZN,MIN_SE,MIN_I,VIT_A,VIT_D,VIT_E,VIT_C,VIT_B1,VIT_B2,VIT_B3,VIT_B5,VIT_B6,VIT_B9,VIT_B12,prix_pond,POISSON,sucres_tot_hors_lactose,ANI_PROTEINE,PROT_DIG,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,HIS,TRP_dig,THR_dig,ILE_dig,LEU_dig,LYS_dig,MET_dig,CYS_dig,PHE_dig,TYR_dig,VAL_dig,HIS_dig
"FEMMES [50,65[","Women [50,65[",2000,jus d'ananas à base de concentré,Pineapple juice from concentrate,2.23094166565087,2.23094166565087,2.23094166565087,Eaux et boissons,Water and beverages,Jus de fruit sans sucre ajouté,Low sugar fruit juice,Jus de fruit sans sucre ajouté,Low sugar fruit juice,0.801201633707674,0.00743353319760978,0.158193092845188,2.1740324025531,6.57841733293096,0.308980733581441,22.6654449641641,0.188748824319354,47.9619277108434,203.693975903614,87.8373493975904,0,0.238433734939759,0.339971084337349,10.8313253012048,0.05,0.004,0,0,0.0025,0.0245,0.018,0,0,2.81414457831325,14.9530120481928,9.25279518072289,142.224096385542,63.3139759036145,0.171192771084337,0.0319289156626506,0.0786163855421687,4.09783132530121,1,0.38433734939759,0,0.0276867469879518,21.3375903614458,0.0536163855421687,0.0203074698795181,0.222363855421687,0.077744578313253,0.0769397590361446,16.0819277108434,0,0.106632771084337,0,10.8313253012048,0,0.249780953974895,4.27707112970711,10.2649707112971,11.1203849372385,16.252870292887,21.3853556485356,9.40955648535565,1.71082845188284,10.2649707112971,10.2649707112971,13.6866276150628,7.6987280334728,3.12226192468619,7.49342861924686,8.1178810041841,11.8645953138075,15.611309623431,6.86897623430962,1.24890476987448,7.49342861924686,7.49342861924686,9.99123815899581,5.62007146443515
"FEMMES [50,65[","Women [50,65[",2002,jus de fruits multivitamines 100% p,"Multivitamin fruit juice, pasteurized",3.92047449662687,3.92047449662687,3.92047449662687,Eaux et boissons,Water and beverages,Jus de fruit sans sucre ajouté,Low sugar fruit juice,Jus de fruit sans sucre ajouté,Low sugar fruit juice,0.801201633707674,0.00743353319760978,0.158193092845188,2.1740324025531,6.57841733293096,0.308980733581441,22.6654449641641,0.188748824319354,46.5,198,87.7,0,0.467,0.4,10.6,0.05,0.00954,0.0000699,0.00057,0.00776,0.0189,0.01,0,0,4.49,9.18,10,149,7.27,0.115,0.0178,0.0356,5,1,63.3333333333333,0.25,0.235,32.7,0.051,0.017,0.29,0.095,0.105,22,0,0.10072,0,10.4,0,0.292,4.0516881117343,8.45888778914183,11.721226340164,13.138629226389,21.619731906106,8.86677175360778,3.93061818004081,13.3746593838973,7.99286386353361,17.9472610188546,8.12170534110488,2.95773232156604,6.17498808607354,8.55649522831971,9.591199335264,15.7824042914574,6.47274338013368,2.86935127142979,9.763501350245,5.83479062037953,13.1015005437638,5.92884489900656
"FEMMES [50,65[","Women [50,65[",2012,jus d'orange à base de concentré pa,Orange juice from concentrate,24.0317048074847,24.0317048074847,200,Eaux et boissons,Water and beverages,Jus de fruit sans sucre ajouté,Low sugar fruit juice,Jus de fruit sans sucre ajouté,Low sugar fruit juice,0.801201633707674,0.00743353319760978,0.158193092845188,2.1740324025531,6.57841733293096,0.308980733581441,22.6654449641641,0.188748824319354,42.4,180,88.7,0,0.31,0.71,8.85,0.125,0.045,0.00021,0.00101,0.0304,0.06195,0.00785,0,0,1.62,10.2,16.2,169,8.15,0.0736,0.0256,0.0249,1.6,0.45,2,0,0.1,36.3,0.0667,0.0227,0.303,0.165,0.0387,22.7,0,0.128839128638139,0,8.21,0,0.5183,7.1,11.8333333333333,19.7222222222222,18.1444444444445,37.0777777777778,15.7777777777778,7.88888888888889,24.4555555555556,12.6222222222222,31.5555555555556,14.2,5.183,8.63833333333334,14.3972222222222,13.2454444444444,27.0667777777778,11.5177777777778,5.75888888888889,17.8525555555556,9.21422222222222,23.0355555555556,10.366
"FEMMES [50,65[","Women [50,65[",2013,jus d'orange frais non sucré,"Orange juice, fresh, no sugar",14.2601288885724,0,217.142857142857,Eaux et boissons,Water and beverages,Jus de fruit sans sucre ajouté,Low sugar fruit juice,Jus de fruit sans sucre ajouté,Low sugar fruit juice,1.0328871979738,0.0123771085160386,0.273335792056426,2.91176832457808,16.8439175934646,0.268083189130202,26.0827039343809,0.0762465865071424,43.5812217623029,185.406108811514,88.4375564753944,0,0.156246070394719,0.663458160863567,9.33654979303628,0.0983589183778373,0.0071266942618294,0,0.000158568947325704,0.00665158131104077,0.0195388036685334,0.00777115493872251,0,0,0.585458160863567,11.827352217082,16.6908367827287,188.222844466088,8.04304169033899,0.0705341584828072,0.026455882909937,0.0289960419879339,3.01006682418549,0.878167356545735,14.8981864747631,0,0.176397072748424,47.5053134215297,0.0670760165570977,0.0251973973973974,0.376340502664827,0.191218326434543,0.0516139166193221,29.5178746313882,0,0.279931503394938,0,8.41681005329654,0,0.490158282303755,6.71449701785966,11.1908283630994,18.6513806051657,17.1592701567525,35.0645955377116,14.9211044841326,7.46055224206629,23.1277119504055,11.9368835873061,29.8422089682652,13.4289940357193,4.90158282303755,8.16930470506259,13.615507841771,12.5262672144293,25.5971547425294,10.8924062734168,5.44620313670839,16.883229723796,8.71392501873343,21.7848125468336,9.8031656460751
"FEMMES [50,65[","Women [50,65[",2014,jus de pomme à base de concentré pa,Apple juice from concentrate,3.43430707978884,0,71.4285714285714,Eaux et boissons,Water and beverages,Jus de fruit sans sucre ajouté,Low sugar fruit juice,Jus de fruit sans sucre ajouté,Low sugar fruit juice,0.412368422560299,0.00292240726408838,0.114237605276392,0.959061626811677,2.97828364759387,0.475196155817735,13.3602904338237,0.17512987564928,42.5781122376907,180.890561188453,88.934336713072,0,0.0273597028866768,0.0678112237690658,9.95890561188453,0.107886477249464,0.000729956873016537,0,1.78385262821133E-05,0.000640217047548237,0.0029811132265323,0.000794525771829094,0,0,3.01942596094793,4.67135456264717,6.02377552461868,101.452805942266,7.68321662375896,0.111685825969899,0.0126340568251608,0.0232831643464012,4.46374982342113,0.732831643464012,0.75552425133073,0,0,9.02195201530321,0.019233928319173,0.0212972697486953,0.142961730729862,0.0596942596094793,0.0491244895076263,5.3056761375268,0,0.0839706979698527,0,9.65218877623093,0,0.0496936531416274,0.680734974542841,2.38257241089994,2.72293989817136,4.08440984725705,4.08440984725705,0.680734974542841,1.02110246181426,1.7018374363571,1.36146994908568,3.06330738544279,1.02110246181426,0.496936531416274,1.73927785995696,1.9877461256651,2.98161918849764,2.98161918849764,0.496936531416274,0.745404797124411,1.24234132854069,0.993873062832548,2.23621439137323,0.745404797124411
"FEMMES [50,65[","Women [50,65[",2016,pur jus de raisin pasteurisé,"Grape juice, pasteurized",0.496696281074368,0,5.11256650886064,Eaux et boissons,Water and beverages,Jus de fruit sans sucre ajouté,Low sugar fruit juice,Jus de fruit sans sucre ajouté,Low sugar fruit juice,0.801201633707674,0.00743353319760978,0.158193092845188,2.1740324025531,6.57841733293096,0.308980733581441,22.6654449641641,0.188748824319354,68.1,290,82.6,0,0,0.18,16.1,0.05,0.0267,0,0.000667,0.021,0.0197,0.005,0,0,1.86,7.21,11.9,105,10.8,0.448,0.0467,0.0548,5,0.5,0.416666666666667,0,0.2,0,0.0287,0.0257,0.29,0.0445,0.024,2.5,0,0.103002280791252,0,15.5,0,0.1314,1.8,3,5,4.6,9.4,4,2,6.2,3.2,8,3.6,1.314,2.19,3.65,3.358,6.862,2.92,1.46,4.526,2.336,5.84,2.628
"FEMMES [50,65[","Women [50,65[",4004,pomme de terre chips salées,"Potato crisps, salted",0.387272068203324,0.387272068203333,5.71428571428571,Plats préparés et sandwichs,Ready meal and sandwich,Plats à base de produits végétaux,Vegetable based meals,Produit apéritif (salé),Snacks,2.24436408182099,0.0186380866107341,0.483216980564054,19.4031284395516,1.04758973782842,3.58591698447813,83.7956017243543,1.82446839109891,550,2290,2.29,0,4.1,5.59,48.7,36.1,14.5,0.0986,0.308,12.4,2.603418,0.0564,0.000182,0,622,73.3,97,1260,27.1,1.06,0.205,0.783,2.5,87.5,1,0,5.33,31.8,0.147,0.074,4.89,0.625,0.471,51,0,0.842,0,1.03,0,4.0807,83.85,198.445,223.6,329.81,332.605,86.645,69.875,243.165,204.035,307.45,120.185,61.2105,144.86485,163.228,240.7613,242.80165,63.25085,51.00875,177.51045,148.94555,224.4385,87.73505
"FEMMES [50,65[","Women [50,65[",4018,purée de pommes de terre maison,Potato mash,8.151932608118,27.1868860610555,57.1428571428571,Féculents,Starchy food,Féculent non raffiné,"Starchy food, unrefined",Pomme de terre,Potato,1.9311436834744,0.0144914376740196,0.267561077974739,5.56277815867404,1.57008503164264,1.16201251749127,49.6269798458168,0.477857838159704,84.9786681350002,357.625639696832,79.3335492647534,0,1.77838958346829,2.17806568633802,13.4903284316901,2.08795944807929,1.45696819330181,0.0502863056293321,0.109348824253417,0.44081168620846,0.0564574412126708,0.036353117833776,0,0,78.331832609963,14.721934313662,45.1736218177106,261.664507352465,29.8993522057394,0.304581201010559,0.0604993522057394,0.255606659324998,0.982193431366197,5.06677463237675,26.1504340221545,0.216385955820431,0.271934313661981,8.60583014834488,0.0976770097816933,0.0467098529507028,0.811614951091532,0.324386862732396,0.242128651940144,15.096715683099,0.0445164215845047,0.101300414907103,0,0,0.505483977287133,1.68890478619179,29.9642819321851,76.8645123502792,91.1303653085515,138.482509902588,130.355009826032,36.2354751123421,23.7997647996543,90.7734832073728,79.9380241226955,117.337366087242,46.3551509502918,23.3579228385137,60.9320102397181,72.9521270509582,111.466347419014,103.574950846384,29.1452848597608,18.3529890621198,71.4211885555239,63.5113034237094,92.7406327936522,36.7157189069881
"FEMMES [50,65[","Women [50,65[",7004,pain grillé maison,Toast,2.53883125133926,0,45,Féculents,Starchy food,Féculent raffiné,"Starchy food, refined",Pain,Bread,0.853545348583043,0.00961737830491807,0.204068285492834,5.88029526795964,0.617759544707052,1.28822873631287,37.4920740217228,0.692309096388009,340,1440,13.2,0,4.2,9.56,69.8,1.16,0.129,0.00296,0.00336,0.0961,0.4377,0.0233,0,0,848,29,122,238,78.2,1.18,0.11,0.625,5,2.5,1,0.25,0.275,0.25,0.176,0.058,1.68,0.25,0.142,42.1,0,0.42435,0,4,0,9.06395010114633,81.0257858157877,181.235515899821,229.50427806203,453.715269474561,150.344323634911,116.883203718836,139.030231611892,331.495253155454,199.881691830746,266.386973916608,146.98410126972,76.7467239918448,171.239013199908,217.00623655722,429.594109282469,141.344437190185,110.682343150786,131.838054713248,314.045929922271,189.146272107718,251.967440909696,139.168607152514
"FEMMES [50,65[","Women [50,65[",7110,pain complet ou intégral fabricatio,Wholemeal bread,7.13791342177863,74.2857142857143,80,Féculents,Starchy food,Féculent non raffiné,"Starchy food, unrefined",Produit céréalier complet,Whole meal product,0.632411592541003,0.00844331705310421,0.210993256814562,5.41384461870102,0.491370371479805,1.86269139058402,36.8864210273618,0.604839265913985,269,1140,30.9,0,5.6,9.04,50.6,1.75,0.386,0.0029,0.00925,0.267,0.67554,0.0363,0,0,603,108,254,291,33,6.83,0.168,3.93,5.25,31,0,0,0.47,0,0.0998,0.1,6.32,0.52,0.382,30.7,0.11,0.50567,0,1.72,0,8.56885764048034,107.776901774538,216.626918868231,276.413753111916,519.621821087873,197.826351594883,125.254271043878,169.434049951208,369.320145509752,226.64002495594,329.762175487243,173.832657318243,102.146498339492,204.804272163979,261.508331750206,492.118456681201,186.362625911738,118.613268005938,160.707115993385,349.92664533849,214.521819656442,312.107294323111,164.646513498073
"FEMMES [50,65[","Women [50,65[",7200,pain de mie,Sliced bread,2.47432777927317,53.0531224487855,70,Féculents,Starchy food,Féculent raffiné,"Starchy food, refined",Pain,Bread,2.24856869089859,0.0191869027356843,0.349623527378835,8.85871357175987,1.1934501038564,1.93622497810465,55.8670019655292,0.860812879836097,291.536231241409,1232.97673269522,31.7354691785812,0,2.97940884702365,8.2,49.2415903864792,5.8506673592591,2.15896446874149,0.0563379661854416,0.146834355540634,1.47498185112219,0.980844595181837,0.108520270997903,0.000930710308435902,0,501.743134783132,45.44595751959,91.8522117559118,154.386346215975,204.867373828875,4.45932497576982,0.141763538478928,2.25738941220441,12.405701851629,14.0443364732264,8.3719168551236,0.0138634621597481,0.070688213048188,0,0.125286422865686,0.109427154268629,3.01875479060693,0.468318077295849,0.0583180772958489,15.337432931503,0.235678856715718,0.248574582730926,0,0,1.95378232138646,7.77068734507745,78.6811393884778,202.134510493108,259.008031752338,473.677454947295,238.771022634853,124.300476323237,113.381085798924,308.982679395954,217.428866424083,295.078514542621,145.362707635383,74.5367913786696,191.167074949336,245.11490448426,448.671851772955,225.464798403689,117.755515780701,107.489786280233,292.726476370138,205.874365071041,279.309203783417,137.664114851197
